Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bosnia and Herzegovina,BIH,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,76.75,65.44,56.77,37.69,51.28,64.83,58.9,61.65,57.57,57.96,61.86,75.16,85.13,91.59,99.78,106.14,111.62,108.93,108.8,110.26,102.99,99.3,100.63,100.06,93.7,90.62,85.66,86.25,71.67,
Belarus,BLR,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.28,85.37,80.68,72.19,68.55,69.59,72.08,67.69,62.16,65.9,64.44,62.51,66.57,73.99,78.79,80.43,83.25,89.99,92.07,92.44,96.15,98.65,95.45,101.81,102.73,104.89,105.86,106.35,111.34,111.18,
Belize,BLZ,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,11.19,11.63,12.46,12.62,13.85,14.37,15.13,15.52,12.78,13.62,17.29,17.77,22.26,20.65,19.73,23.85,23.83,23.75,25.89,27.35,28.31,28,36.75,38.01,38.01,40.79,41.8,42.32,27.54,43.08,43.72,48.08,34.61,44.85,46.71,47.57,46.94,46.66,51.2,51.8,75.37,80.4,82.27,86.56,77.87,77.61,76.08,74.73,76.95,79.11,79.2,82.89,92.4,95.44,101.47,103.09,105.23,110.14,111.94,102.38,107.63,
Bermuda,BMU,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,14.23,14.65,14.9,14.85,15.29,16.04,16.34,16.48,17.12,19.76,20.21,22.51,23.17,23.72,25.26,26.28,27.46,27.95,29.57,34.2,33.17,33.35,34.11,32.36,34.4,33.13,34.71,37.44,39.26,44.66,41.29,41.24,42.85,46.03,48.09,49.6,51.12,53.77,54.57,55.46,56.97,59.26,61.14,64.4,68.8,75.94,86.56,89.29,79.54,83.54,85.81,90.64,93.59,95.81,100.86,103.33,110.56,111.35,112.65,112.59,116.95,
Brazil,BRA,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,10.95,11.16,11.28,12.1,12.77,12.8,13.1,14.34,15.07,15.41,15.3,16.76,17.59,17.42,18.66,20.23,20.44,21.51,22.8,25.28,26.12,26.44,27.34,27.97,28.82,30.09,32.08,34.09,35.21,35.67,38.97,40.94,42.34,44.81,49.35,52.72,52.89,53.79,58.4,61,63.21,67.29,70.14,75.38,77.62,80.83,84.45,87.1,86.82,90.66,92.7,94.29,97.98,99.94,100.23,99.83,102.87,105.06,107.56,108.27,108.75,
Barbados,BRB,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,23.48,23.09,24.71,25.79,25.07,25.95,26.44,27.43,31.51,34.23,38.3,40.7,45.01,49.44,49.65,52.72,56.44,64.7,66.41,69.49,72.55,75.4,69.44,70.98,68.03,72.71,79.52,81.8,95.02,94.38,92.06,80.72,77.6,73.87,80.28,92.63,86.42,86.2,84.52,78.95,80.88,76.9,83.33,89.17,95.06,90.56,97.67,94.6,96.23,95.41,94.93,94.95,91.52,94.54,103.7,101.76,102.71,105.98,107.63,86.01,89.16,
Brunei Darussalam,BRN,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,4.66,7.77,7.12,5.73,4.63,5.09,4.98,5.7,6.54,7.38,8.34,6.56,7.16,10.47,9.12,10.24,11.13,9.8,10.95,14.65,16.44,18.06,18.7,20.02,30.79,23.89,16.71,13.37,16.46,12.27,14.71,23,22.66,24.44,24.43,19.55,28.24,34.62,44.16,50.11,59.15,66.66,64.5,60.43,41.94,78.06,82.34,85.06,85.2,89.42,96.67,98.59,107.37,99.77,97,103.23,99.38,102.71,100.66,109.06,119.99,
Bhutan,BTN,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,67.41,72.36,76.97,79.02,81.05,82.26,84.63,86.2,88.86,91.13,93.24,95.44,97.2,100.05,102.9,106.05,108.43,111.25,113,116.98,119.91,124.16,129.3,134.31,139.31,136.08,141.11,142.41,147.66,156.76,17.69,15.23,15.75,16.42,18.35,20.69,25.18,29.2,28.81,24.95,25.5,22.92,21.65,23.74,21.92,56.22,54.81,61.68,64.97,66.84,70.67,85.2,79.58,85.01,98.64,116.35,129.16,135.36,146.72,157.53,146.21,
Botswana,BWA,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,39.78,44.68,49.35,55.3,54.7,55.66,55.77,55.69,55.48,64.01,64.09,65.31,63.87,60.97,61.03,65.96,64.26,52.08,71.43,50.74,66.16,71.87,66.74,75.7,72.16,70.78,62.39,62.64,66.23,73.11,118.35,110.24,102.98,98.99,120.26,106.21,103.58,100.06,89.66,100.8,107.63,92.75,92.85,103.93,108.3,106.77,108.74,113.54,120.42,131.71,134.41,134.5,121.06,100.97,105.56,93.47,91.88,89.87,98.55,88.5,99.51,
