Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belize,BLZ,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000868178,0.001207693,0.001632663,9.16E-05,0.000170556,0.000320845,0,0,0.004491983,0.004506919,0.005191859,0.006183908,0,0,0,0,0,0,0,0,0,0,0,
Bermuda,BMU,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,BOL,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,1.051181438,0.469637163,0.52801721,2.713944602,4.14524682,0.530852099,0.431358154,2.616332821,2.626881104,3.134964488,4.412294883,1.316480108,0.988133415,1.137068642,0.707914038,0.405535144,0.077959899,0.470282011,3.047539047,4.25119809,3.041737948,1.187887643,1.097270316,0.798346275,1.738909143,2.043890632,1.462127619,1.269537175,0.169697255,0.21112059,0.278147846,0.121156625,0.224689915,0.234737988,0.563598303,0.913753286,3.576706252,4.520673522,3.462526456,1.631661934,3.248263476,5.126636767,3.230746928,2.555414564,2.186357653,0.154530696,0.706585786,2.423377432,1.210930926,0.562741002,0.666855179,
Brazil,BRA,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.489549108,0.397243118,0.458517275,0.380213589,0.563192667,0.649558713,0.867652854,0.620524874,0.494657081,0.568012761,0.70864837,0.646992679,0.681060824,0.976439534,0.991054332,0.92360487,0.722042612,0.672631093,0.708456677,0.75366059,0.76819677,0.667928506,0.65420775,0.40165282,0.256617828,0.186532441,0.193451113,0.164754159,0.291868025,0.347533202,0.287486068,0.427928037,0.42739507,0.216842391,0.099380306,0.824052241,0.884048568,1.545955754,1.863550947,0.589938797,1.630501873,1.810282202,1.281947299,1.371051343,0.818191306,0.571694976,0.754819169,0.828458193,0.87959868,0.79629284,1.153902214,
Barbados,BRB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brunei Darussalam,BRN,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan,BTN,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029610822,0.02790216,0,0,0,0,0,0.022131224,0.126629869,0.06702741,0.064402581,0.045231405,0.054058487,0.069662226,0.103603699,0.130808218,
Botswana,BWA,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0.3977354,2.795434932,2.049946458,5.562983254,3.456210234,0.628313951,2.538192016,2.086741009,0.692480438,0.290520288,0.530853989,0.208943336,0.334786319,0.006358962,0.211059107,6.405067032,4.750348043,1.198129338,2.280458942,1.200431279,0.515037409,0.943221994,1.448471209,0.490842684,0.728962454,0.180956861,0.935691249,1.934210599,0.602410887,0.370227785,1.413454782,2.602899083,1.804514087,5.744849554,6.493806486,2.692140859,1.541971334,1.320622827,1.186079141,1.308798319,0.590915378,0.218619122,0.045734749,0.059400485,0.063869573,0.062673763,0.054242155,0.090104531,
Central African Republic,CAF,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.025199454,0.089879872,0.041982585,0.025417568,0.071417943,0.155487416,0.080771364,0.056570996,0.095873059,0.128029728,0.066719012,0.045879577,0.070791993,0.032934201,0.049439002,0.076777301,0.012162562,0.032068495,0.020971173,0.00900189,0.005106094,0.002687387,0.004337797,0.005236892,0.002310288,0.000695179,0.002188187,0.003733349,0.003665903,0.017675494,0.028484729,0.034744025,0.044741557,0.042192971,0.046030001,0.033563751,0.028285515,0.033787405,0.047426373,0.055682514,0.069715882,0.097274529,
Canada,CAN,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,1.299737211,0.942167857,0.862911363,1.713925301,1.775374194,0.788102934,0.742069287,0.593349205,0.359663356,0.646516889,0.899587274,0.486858962,0.355889511,0.37136667,0.395489148,0.336121334,0.229381112,0.34607773,1.097660236,0.790084529,0.549274242,0.46999751,0.346289859,0.202951561,0.297912667,0.403025803,0.298214744,0.218181043,0.104340832,0.12513467,0.179955843,0.122180444,0.138192719,0.153096922,0.284372607,0.279508062,0.602411243,0.784653668,0.514519949,0.204258432,0.449253332,0.556066558,0.337871671,0.279714261,0.251944155,0.153391143,0.158191514,0.160431146,0.12544733,0.204447289,0.252034221,
Central Europe and the Baltics,CEB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.558803512,0.345232741,0.352059533,0.346012497,0.386031887,0.498918586,0.133535952,0.167412077,1.030102559,0.935717124,0.383896008,0.202865697,0.215108597,0.14483501,0.159708734,0.149204967,0.081439297,0.100658116,0.024064044,0.024415849,0.045643377,0.014109754,0.01807801,0.026915359,0.093272832,0.100302177,0.276487551,0.214650839,0.097826712,0.100404645,1.181584929,1.624237925,1.101896803,1.015082266,0.990544917,0.313932948,0.563002304,0.910589038,0.783789754,0.086327233,0.091476759,
Switzerland,CHE,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42E-05,0.00015695,0.000119352,0.000105781,7.83E-05,0,0,0,0,0,0,
Channel Islands,CHI,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Chile,CHL,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,9.598958323,6.067804127,5.247820509,6.806755588,9.903446165,10.39176002,10.91940384,7.326657079,6.080382372,7.558803903,6.872697815,4.024030991,4.940061716,7.063378704,6.003143208,7.213485139,6.065928382,7.492382119,10.90380802,11.83685503,9.54796165,4.755795503,3.637224432,2.264798518,4.06408791,5.71244002,4.383925413,4.140827029,2.00850843,3.012800457,4.362539635,3.34481164,2.847220777,4.430423971,9.068813221,9.223692665,16.74413502,16.42808374,13.07398149,8.097643702,11.21975364,11.48923721,8.46334252,6.981159571,6.122063118,3.267460011,2.422226802,4.395945984,4.920074508,4.029278882,2.119311504,
China,CHN,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.190311948,0.142432078,0.111605348,0.174585959,0.319821074,0.221084374,0.421156907,0.423390835,0.27968563,0.354626315,0.404932483,0.532115136,0.465301134,0.407385607,0.287548209,0.254414537,0.174920812,0.258668119,1.112628548,0.39484013,0.376716226,0.74361659,0.689283078,0.523396865,0.444824751,0.317748522,0.238722077,0.234064452,0.437741599,0.338246958,0.143224373,0.124805757,0.12785466,0.137325739,0.262409606,0.718115016,1.172037347,2.157666829,2.364427171,0.996695652,2.019070561,2.333325619,0.783920252,0.604309413,0.357991126,0.20264105,0.192509333,0.242638775,0.202855916,0.09182191,0.291347518,
Cote d'Ivoire,CIV,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000300183,0.000452449,0.000578576,0,0.027459715,0.030254815,0.065434515,0.128619002,0,0.028740258,0,0,0,0,0,0.012390328,0,0,0.009076275,0,0.110068813,0.240205141,0.093749138,0.65451162,0.530274437,0.368977123,0.485371588,0.361552777,0.5598811,0.400849571,0.455348393,0.574500242,0.751622189,
Cameroon,CMR,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,1.40E-05,0,0,0,0.000219369,0.000346228,0.000205225,0.000261541,0.000702275,0.000459769,0.000238442,0.000230298,0.000315123,0.000277174,0.000182334,0.000143136,0.000274509,0,0,0,0.010297915,0.032369538,0.020251804,0.015414697,0.010762206,0.019381995,0.018451222,0.020905557,0.008243926,0.010049821,0.014999596,0.039115141,0.039011076,0.044166243,0.061960341,0.072166741,0.10750432,0.095786445,0.061559411,0.043695441,0.044675836,0.054706937,0.041532083,0,0,0,
"Congo, Dem. Rep.",COD,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,8.922904527,5.679271662,5.228969959,9.19374863,9.003078977,3.418762322,4.158624472,2.725716448,2.173661268,3.365835898,4.59485727,3.886716095,2.638002517,4.125826778,4.350990534,4.868221805,3.33834114,5.871952647,9.532348416,9.727113612,6.597960697,1.01381625,0.495761076,0.142035111,0.27414568,0.365021308,0.301339352,0.196885181,0.212519712,0.351662895,0.077461316,0.115803321,0.127083658,0.216470606,0.405551758,1.520970332,5.058046073,2.419409151,4.34789396,3.809428143,6.411615166,9.391739814,7.624246048,7.809362286,6.966345158,3.289944751,2.461602195,7.001726399,8.011427617,4.321934649,4.993563786,
"Congo, Rep.",COG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.054856962,0.122284946,0.304539469,0.742585878,0.523345141,0.419084077,0.262950836,0.177008257,0.252829718,0.477442229,0.294431963,0.124054674,0.042333512,0.020085476,0.007329323,0.018585243,0.023689,0.049530244,0.781737493,0.210074063,0.354261665,0.89460883,0.255693534,0.20659806,0.219097201,0.039932019,0.09949547,0.492168696,0.000893353,0.000528796,0.000634467,0.000722655,0.000855531,0.000375766,0.004333573,0.003521879,0.006760935,0.007095017,0.007033153,0.009928628,0.014168054,0.019745225,0.01632451,0.010842074,0.008887691,0.010089477,0.015089734,0.011265584,0,0,0,
Colombia,COL,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.01718032,0.026099187,0.011149191,0.009349624,0.012268796,0.019790786,0.022033331,0.016919951,0.009644537,0.052239022,0.50090937,0.253160621,0.146454348,0.244720173,0.277520221,0.25964251,0.265949766,0.337280014,0.622310868,0.476020538,0.226326364,0.434369845,0.316107148,0.180953994,0.222638563,0.254858718,0.198986784,0.114416632,0.030467746,0.195505618,0.389708656,0.152327977,0.224937814,0.620164531,0.842180167,0.803701736,1.227555408,1.225294995,0.484273133,0.559216534,0.734814703,0.779670414,0.686302328,0.349620284,0.264651729,0.174702027,0.282190894,0.217045033,0.146122508,0.198828991,0.340375132,
Comoros,COM,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cabo Verde,CPV,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Costa Rica,CRI,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.017822335,0.118451966,0.129127788,0.097515054,0.141385563,0.088287937,0.021460201,0.03181005,0.011914181,0.009013311,0.003251029,0.002058119,0.012396083,0,0,0,0.01988512,0.02037669,0.010574299,0.005406894,0.00170715,0.000646315,0.000497763,0.000951805,0.002009828,0.004900374,0.014961496,0.058393642,0.088342504,0.007015562,0.007948543,0.017346615,0.033253849,0.024286379,0.003427139,0.002296883,0.001417853,0.002134156,0.002000251,0,0,0,
Caribbean small states,CSS,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,5.808639441,5.470999723,4.72339772,4.184755098,7.281529145,4.461157589,4.594050223,5.208890367,5.235440772,4.140085298,3.453785765,3.249160865,2.503573532,2.00484172,2.633416222,2.107490957,2.229336216,1.641318783,1.480570219,2.076588568,2.097076762,2.381680753,2.220996576,1.759149766,1.839942192,1.168853159,1.354597273,0.953414588,0.701189743,0.552497098,0.574912479,0.51033761,0.377195343,0.384376941,0.651226101,0.830240448,0.940020231,1.057546628,0.822351986,0.941774468,1.661925598,2.209662169,2.194242671,1.477465873,0.832958184,0.485056659,1.349169972,1.377796568,0.405113997,0.16181899,0.252333419,
Cuba,CUB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.753701855,0.608707233,0.529232207,0.421514333,0.358592835,0.449572315,0.520712355,0.472816375,0.151410232,0.289277785,0.357442836,0.248851626,0.045323441,0.038871995,0.055916945,0.092006545,0.003760741,0.007803313,1.280892395,1.302380697,0.413760587,0.568997217,0.467252016,0.19752107,0.201519314,0.522060944,0.540550456,0.273632763,0.069064656,0.150182891,0.758448871,0.286976709,0.398376407,0.801614763,1.412563599,1.141424679,1.93301381,4.604764613,0.916409195,0.5490593,1.083608589,0.884147808,0.32631837,0.053604147,0.195859031,0.109233698,0.023874964,0.090630287,0.251283638,0.262101745,0.25333969,
Curacao,CUW,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
Cayman Islands,CYM,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyprus,CYP,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,1.124841918,1.23994406,0.463034428,0.281492091,0.095289727,0.062612116,0,0.016774063,0.032854685,0.022761285,0.020328651,0.005050442,0.001517348,0.009129518,0.02387751,0.011808044,0.002254639,0.001886818,0.001214051,0,0,0.006550771,0.018062849,0.007024414,0.009650082,0.016802718,0.007861494,0.009492259,0.006863598,0.007987284,0,0,0.00494683,0.003006672,0.017805235,0.038518566,0.061226288,0.061427973,0.041093801,0.031909239,0.01892401,0,0.004110679,0.003744966,0.002822948,0.005045434,
