Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bosnia and Herzegovina,BIH,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.4818446,190.0380161,117.4691685,134.9480881,145.0892955,130.9996927,152.3608364,143.7553915,143.5911478,138.0179929,141.9101386,143.1426923,142.7979182,134.9996914,143.8995245,154.7258785,159.9078623,174.6201789,164.6951379,155.376228,186.2096604,,,,,,,,
Belarus,BLR,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.9826657,495.0204679,456.9314972,421.1576277,405.0269317,418.183944,417.7418746,374.0409267,338.0135291,318.3203465,305.7690256,293.2099184,284.5582398,273.6681684,253.9455818,231.8909773,224.3970324,202.3885331,183.9128201,174.2698731,167.7449362,169.7180474,173.4669933,153.5971344,153.5919442,,,,,,,,
Belize,BLZ,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.94546683,,,,,,,,,,,,,,58.65953415,59.61952748,60.90042105,61.02642474,,,,,,,,,,,,,,,
Bermuda,BMU,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.89705285,81.18053343,84.59259314,86.73554597,91.21716984,97.79063523,100.7437249,104.6875491,100.7521504,98.59001679,107.5933919,82.32865502,96.30411175,97.47997744,93.68897973,97.85665749,116.8702634,91.06230662,91.2391398,91.9523162,96.19790986,96.56581272,105.6105529,99.42519277,100.6603484,,,,,,,,
Brazil,BRA,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.43910261,90.19932377,91.63834611,89.52287516,89.03304277,88.34898949,91.03723929,92.51793494,94.41821487,96.10859313,92.43895485,92.76238188,92.39594522,92.85539606,92.68077544,92.06692121,91.63681108,91.294667,91.70975181,88.82354312,91.33889428,89.22263799,91.33356846,92.44265531,94.95793426,,,,,,,,
Barbados,BRB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2313378,,,,,,,,,,,,,,89.55085931,89.58922968,86.16023025,85.04278864,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.70532895,102.7278434,105.4409744,101.1939258,91.02925707,104.3912335,102.1452052,107.0693068,107.2165798,106.0819631,103.6918606,93.44130828,87.90600916,99.18707885,90.48572668,87.04386488,118.4741059,121.1331854,135.6032066,118.5619192,123.0602383,141.7731757,138.9367131,112.7528648,135.1111878,,,,,,,,
Bhutan,BTN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.60861368,,,,,,,,,,,,,,54.55273984,57.62701426,55.70519411,54.42456578,,,,,,,,,,,,,,,
Botswana,BWA,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09302401,93.91993831,105.1650193,103.4971963,98.41321162,94.16774737,86.81150987,84.0834855,94.49678694,88.98222008,90.69631849,91.52992219,87.65572847,83.50997012,79.95995709,78.92045596,75.26735892,73.52825778,75.36062498,81.87404418,81.37981494,73.17985197,83.13625683,79.1363745,81.94894492,,,,,,,,
Central African Republic,CAF,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.2644088,208.9944179,204.3668308,199.9359079,193.5508129,188.4619566,194.9227139,193.4712368,188.493379,181.5092512,178.9858849,178.7260502,177.1927323,173.6133795,172.6561828,167.6565386,165.8016307,166.0447918,160.5849708,,,,,,,
Central Europe and the Baltics,CEB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.6301263,213.4242331,212.3552195,210.5000739,194.0088969,188.4865697,185.9389723,178.6653539,165.8457585,154.6853497,146.8554199,146.1665461,141.6266966,140.4606726,132.5768256,127.8128353,122.9528306,115.3759663,110.7399882,106.8308064,109.6451117,105.7093448,101.6992081,98.68503497,93.81678711,,,,,,,,
Switzerland,CHE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.66332288,65.230224,65.54848928,63.98806188,63.7564227,62.54605878,63.4703482,63.16027036,62.04498269,61.13900545,58.02888245,60.67434442,59.18867962,59.45281379,58.09910576,56.2249135,56.40487868,51.61381182,52.17237878,53.79341953,50.61926357,48.13683467,48.04624387,49.2560725,45.11578498,43.42880241,,,,,,,
Channel Islands,CHI,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2220032,102.649552,99.8532181,96.01013276,98.28269068,96.94846203,100.5438074,104.8355593,104.1970445,111.0125525,106.3458196,101.1674579,101.4816171,97.91197251,97.74832794,95.21904214,93.45767652,92.17222091,87.95634812,86.58590106,85.47058746,87.66693259,91.4233822,92.03305215,84.35664599,82.43239022,,,,,,,
China,CHN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.6595243,480.1259337,434.6291263,404.2651296,374.5715173,362.468187,338.9198636,309.9345372,289.3591718,273.9627373,260.4492634,250.1958067,244.7126419,254.1413772,263.2503916,261.2527911,253.3827739,239.9012925,225.6754989,220.3935257,220.01274,215.3989646,207.2759854,198.5457957,187.6870333,,,,,,,,
Cote d'Ivoire,CIV,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.30230294,87.71764521,95.90218751,99.50936877,101.1459653,94.06351631,98.07608947,91.26710813,87.31278715,102.9004829,99.72182034,98.01653155,107.7073239,106.8726034,145.9655114,149.4902768,142.9797957,152.2153937,146.0080729,129.1484522,131.0019551,158.7117627,159.8943189,154.6126774,144.9708624,,,,,,,,
Cameroon,CMR,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.100977,131.3159497,136.9905324,153.9455521,156.35276,154.6099415,152.021137,149.5776029,146.9456425,141.6932,142.304986,138.0167261,135.2316936,133.4502123,128.546601,126.4923952,116.1243236,104.9611827,102.9480871,108.5014147,106.2495207,99.05115565,97.63228189,97.71619051,96.57801278,,,,,,,,
"Congo, Dem. Rep.",COD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.3218567,204.7943024,233.0046558,274.6622833,286.8408827,296.9244015,310.1892429,334.426482,348.2708397,365.2964865,392.8163841,414.7160455,416.838102,409.5399524,398.9819149,390.4602617,384.7753908,375.2883548,366.3363543,366.8557475,355.1179692,352.880199,408.8498459,396.0788434,378.0689523,,,,,,,,
"Congo, Rep.",COG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.91151823,67.21074618,64.70511503,65.75254172,60.00388853,65.88322723,59.52978402,57.32369921,55.30659746,55.88915219,51.58894874,55.71124404,53.65967346,62.81434293,64.46032024,64.72230504,78.23320851,74.40690848,74.89682798,76.60655617,75.90527152,98.88585989,103.0781583,106.5024618,99.91445838,,,,,,,,
Colombia,COL,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.08494689,87.29811657,85.82030591,85.18530145,83.346461,80.61006226,80.91239639,75.90358208,79.03835493,73.78546956,72.03227612,70.5523639,67.48115115,66.30131226,63.59286003,63.19517798,62.23966113,57.94891049,58.74107815,60.20830928,58.55572706,54.83753321,53.26811183,54.05441294,52.27098088,,,,,,,,
Comoros,COM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16369751,,,,,,,,,,,,,,20.30294333,21.48473973,23.75918782,23.00940786,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15150053,,,,,,,,,,,,,,41.39080787,43.0646356,41.08916793,36.02653039,,,,,,,,,,,,,,,
Costa Rica,CRI,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.13832961,56.17221689,66.41585377,63.27859989,59.64908494,58.4404352,57.90705445,55.59804824,51.58702121,54.58607585,57.44729262,55.84102198,56.80645031,58.44754734,66.30818588,63.7511526,64.26965856,64.01593751,62.16931346,62.37587113,60.3082585,57.87539925,56.09797918,56.01166751,54.79698573,,,,,,,,
