Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,BGD,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.100873641,1.706881753,1.706881753,1.706881753,1.706881753,1.706881753,1.76917666,1.76917666,1.76917666,1.76917666,4.584942174,1.810011299,1.810011299,1.810011299,1.810011299,1.810011299,1.810011299,1.810011299,1.810011299,1.810011299,4.718688901,..,4.718688901,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.124028242,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124028242,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124131865,0.124028248,..,0.124028248,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.540274251,6.649617097,6.659888633,6.822286545,6.842090758,7.165974753,7.219980887,7.219980886,7.220006597,7.220006598,7.147852395,7.220024912,7.220024912,7.220024912,7.220669392,7.22125813,7.22125813,7.22125813,7.221258129,7.22125813,8.277811063,..,8.277811075,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.63783239,3.262411274,3.264195637,3.301395776,3.537001587,3.576944471,4.429914491,5.233144545,5.669353609,6.050274515,14.68209931,11.33816753,11.34799565,13.7122537,13.72556407,13.74317141,13.74875962,13.75576356,13.77009742,13.77079265,23.01524224,..,23.01524224,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.0364178,16.02949705,16.02949705,16.02949705,17.14565293,17.59221119,17.9741009,23.62475637,24.15096046,24.15096046,35.19091307,25.40953553,25.56888579,25.56916419,26.26249535,27.94590623,27.94590623,27.94590623,27.94590623,27.94590623,36.47892491,..,36.65152269,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.8073959,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,25.00522102,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,23.80738184,26.09956748,..,26.09956747,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.359894251,5.333675877,5.347667845,5.361669234,5.375642028,5.389590157,5.403554464,5.417548809,5.431607905,5.431607905,5.762473264,5.569085698,5.569085698,5.569085698,5.569085698,5.569085698,5.569085698,5.569085698,5.569085698,5.568176777,5.762473243,..,5.762473247,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.25311907,14.24611552,14.24611552,18.10851635,18.10851635,26.37508722,26.37508722,26.37508722,28.34731985,28.34731985,28.35433081,28.34731985,28.34731985,28.34731985,28.34731985,28.34731985,28.34731985,28.34731985,28.34731985,28.34731985,28.35433081,..,28.35433081,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.760635736,8.884307754,9.254207108,9.310765373,9.310765373,14.33713379,14.33890002,17.98688613,17.98783912,17.98783912,18.73122128,18.16400904,18.16732833,18.26463075,18.50712655,18.50712655,18.50712655,18.50712655,18.50712655,18.50712655,20.83393639,..,20.83393639,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.536042264,0.52954232,0.52954232,0.52954232,0.52954232,0.540274268,0.540274268,0.540274268,0.540274268,0.540274268,0.583512445,0.540274268,0.540274268,0.568202094,0.568202094,0.579972497,0.579972497,0.579972497,0.579972497,0.579972497,1.486437416,..,1.486437416,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.29937217,30.31582278,30.93076935,30.93076935,30.93076935,30.9317869,30.9317869,30.9317869,30.9317869,30.9317869,37.17086644,30.9317869,30.93373342,30.93373342,30.93373342,30.93373342,30.93373342,30.93373342,30.93373342,30.93373342,37.18966775,..,37.19210059,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.024552063,9.199963736,9.554268217,9.6550972,10.70280772,11.11640209,11.86282874,12.9077149,14.2227539,15.04779808,14.35152739,17.81450795,20.44306389,21.14851376,22.9368052,25.01051437,26.27405317,26.27852485,26.27852485,26.2785599,26.26162417,..,26.26162417,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
